"","ID","MonthlyIncome"
"1",871,5566.05742452991
"2",872,2449.69936040157
"3",873,14793.2784776865
"4",874,1625.99573393504
"5",875,1683.83129473226
"6",876,7398.41786544152
"7",877,4728.82466140675
"8",878,1549.61808857729
"9",879,1884.56339658312
"10",880,15420.1822312008
"11",881,11678.2814907065
"12",882,2520.71649162012
"13",883,6206.02128690099
"14",884,5652.55793525115
"15",885,6615.70896054189
"16",886,6111.08249032244
"17",887,5354.67052784137
"18",888,6341.88184369884
"19",889,5951.18888444506
"20",890,2524.83480951559
"21",891,6368.62161182785
"22",892,9242.81105652288
"23",893,9565.80698006322
"24",894,5625.23482622393
"25",895,11225.0899710929
"26",896,10192.8090009508
"27",897,9992.64217223254
"28",898,14042.8321633913
"29",899,5959.48140993568
"30",900,2750.10573456166
"31",901,2459.80769373928
"32",902,6440.79641119866
"33",903,6493.59635938883
"34",904,2831.95267224671
"35",905,14917.1966914909
"36",906,5427.65483082443
"37",907,10597.9589280618
"38",908,6271.67475819083
"39",909,1957.79242757563
"40",910,2484.38698486175
"41",911,18771.3335065295
"42",912,2682.62571283813
"43",913,2564.1655913392
"44",914,10198.1968456936
"45",915,6374.8861879011
"46",916,5614.58714138077
"47",917,2566.39932655873
"48",918,5861.80853626653
"49",919,1954.87262917556
"50",920,3086.16212397792
"51",921,2181.81670676876
"52",922,1821.12123005697
"53",923,6208.88588393735
"54",924,6100.46468809196
"55",925,15498.9823415886
"56",926,2202.33986345663
"57",927,5952.96230285851
"58",928,10769.5378322687
"59",929,1046.22109057454
"60",930,2008.78979022179
"61",931,5941.8087961117
"62",932,10035.6885104493
"63",933,9937.25733064131
"64",934,1937.58951591049
"65",935,2112.37614420849
"66",936,1859.33690579956
"67",937,10523.408223088
"68",938,10553.797929483
"69",939,6674.86156624843
"70",940,2201.34473613812
"71",941,3306.28907029561
"72",942,9831.40984383146
"73",943,11134.2368780529
"74",944,6166.22454394465
"75",945,1829.22753182508
"76",946,5651.63864441547
"77",947,2092.3943363636
"78",948,2022.98103515605
"79",949,2625.46042513028
"80",950,5273.6575601565
"81",951,2308.50813147717
